cod_tienda_facturacion,nombre_tienda_facturacion,cadena_facturacion
368,FLORIDA CENTER (368),CAMPER
919,PZA EL ROBLE (919),BLUE TOMATO
178,ECOM (178),ECOMMERCE
155,ECOM (155),ECOMMERCE
160,PLAZA VESPUCIO (160),AIRWALK
179,ALTO LAS CONDES (179),AIRWALK
109,LA REINA (109),URBAN OUTFITTERS
60,PARQUE ARAUCO (60),FATFACE
905,CONCEPCION (905),CARHARTT
128,PORTAL RANCAGUA (128),CARHARTT
267,ECOM (267),ECOMMERCE
187,COSTANERA CENTER (187),LULULEMON
98,M. PZA. TREBOL 2 (98),CAMPER
28,MALL PUERTO MONTT (28),CAMPER
801,ALTO LAS CONDES (801),ALO YOGA
540,PUERTO MONTT (540),JACK WOLFSKIN
186,FLORIDA CENTER (186),LULULEMON
242,PASEO VALDIVIA (242),LULULEMON
685,FLORIDA CENTER (685),JACK WOLFSKIN
583,MALL PZA OESTE (583),GRENDHA
161,COSTANERA (161),AIRWALK
674,PORTAL NUNOA (674),CARHARTT
69,MALL M.ARAUCO (69),FATFACE
832,PLAZA EGANA (832),JACK WOLFSKIN
2,PARQUE ARAUCO (2),CAMPER
888,PORTAL TEMUCO (888),BOBUX
223,PLAZA VESPUCIO (223),LULULEMON
830,PLAZA EGANA (830),CARHARTT
166,BUENAVENTURA (166),KEEN
535,ARAUCO MAIPU (535),GRENDHA
452,FLORIDA CENTER (452),FATFACE
902,MARINA ARAUCO (902),FINISTERRE
141,LA FABRICA (141),CARHARTT
897,ARAUCO MAIPU (897),BOBUX
854,PZA OESTE (854),CARHARTT
777,COSTANERA CENTER (777),CARHARTT
719,MARINA ARAUCO (719),KEEN
416,MELIPILLA (416),CAMPER
672,PLAZA TREBOL (672),CARHARTT
331,LOS ANGELES (331),FATFACE
8,ALTO LAS CONDES (8),CAMPER
209,EL BELLOTO (209),URBAN OUTFITTERS
835,PLAZA EGANA (835),KEEN
796,AIRES VESPUCIO (796),JACK WOLFSKIN
456,MALL TEMUCO (456),FATFACE
807,PORTAL TEMUCO (807),CARHARTT
175,COSTANERA (175),BLUE TOMATO
526,PLAZA VESPUCIO (526),GRENDHA
764,COSTANERA CENTER (764),FATFACE
195,PORTAL TEMUCO (195),LULULEMON
454,PARQUE ARAUCO (454),JACK WOLFSKIN
123,LOS DOMINICOS (123),CAMPER
601,PLAZA EL TREBOL (601),JACK WOLFSKIN
549,MARINA ARAUCO (549),JACK WOLFSKIN
765,COSTANERA CENTER (765),JACK WOLFSKIN
129,PORTAL RANCAGUA (129),CAMPER
493,MALL CURICO (493),FATFACE
150,INDEPENDENCIA (150),CARHARTT
660,PZA LOS ANGELES (660),JACK WOLFSKIN
682,PORTAL NUNOA (682),FATFACE
221,CONCEPCION (221),URBAN OUTFITTERS
232,PARQUE ARAUCO (232),ALO YOGA
763,COSTANERA CENTER (763),KEEN
841,ARAUCO MAIPU (841),KEEN
154,VALDIVIA (154),JACK WOLFSKIN
31,PLAZA VESPUCIO (31),CAMPER
768,COSTANERA CENTER (768),CAMPER
34,IQUIQUE (34),CAMPER
19,VALDIVIA (19),CAMPER
110,LA FABRICA (110),URBAN OUTFITTERS
898,FACTORY CURAUMA (898),URBAN OUTFITTERS
114,VIVO LA FLORIDA (114),URBAN OUTFITTERS
731,PTO MONTT (731),URBAN OUTFITTERS
606,LA SERENA (606),URBAN OUTFITTERS
821,MALL SPORT (821),BLUE TOMATO
908,ARAUCO MAIPU (908),BLUE TOMATO
822,A.LAS CONDES (822),BLUE TOMATO
149,TALCA (149),BLUE TOMATO
257,PARQUE ARAUCO (257),BLUE TOMATO
243,PASEO VALDIVIA (243),BLUE TOMATO
840,PZA EGANA (840),BLUE TOMATO
170,OPEN KENNEDY (170),BLUE TOMATO
885,ALTO LAS CONDES (885),FINISTERRE
895,IQUIQUE (895),FINISTERRE
844,PZA ANTOFAGASTA (844),FINISTERRE
95,TALCAHUANO (95),FAMOUS FOOTWEAR
127,PORTAL RANCAGUA (127),FATFACE
917,PASEO CHILOE (917),FATFACE
487,PLAZA ANTOFAGASTA (487),FATFACE
374,PLAZA NORTE (374),FATFACE
220,PLAZA OESTE (220),FATFACE
373,LA DEHESA (373),FATFACE
773,CONCEPCION CENTRO (773),FATFACE
65,PLAZA VESPUCIO (65),FATFACE
62,PLAZA DEL TREBOL (62),FATFACE
68,PLAZA LA SERENA (68),FATFACE
247,PLAZA MAULE (247),FATFACE
753,SAN PEDRO 2 (753),FATFACE
573,MALL ARAUCO MAIPU (573),FATFACE
43,PLAZA EL ROBLE (43),FATFACE
63,ALTO LAS CONDES (63),FATFACE
875,PLAZA COPIAPO (875),FATFACE
330,PUERTO MONTT (330),FATFACE
449,IQUIQUE (449),FATFACE
64,PUCON (64),FATFACE
122,LOS DOMINICOS (122),CARHARTT
676,PLAZA NORTE (676),CARHARTT
843,ALTO LAS CONDES (843),CARHARTT
876,PLAZA COPIAPO (876),CARHARTT
171,VALDIVIA (171),CARHARTT
703,PZA ANTOFAGASTA (703),CARHARTT
909,PUERTO MONTT (909),CARHARTT
465,PARQUE ARAUCO (465),CARHARTT
904,PZA EL ROBLE (904),CARHARTT
702,PLAZA CALAMA (702),CARHARTT
798,PLAZA VESPUCIO (798),CARHARTT
894,PLAZA SUR (894),REI
750,MELIPILLA (750),REI
462,MALL TEMUCO (462),REI
926,MALL SAN FERNANDO (926),REI
445,IQUIQUE (445),REI
163,PARQUE ARAUCO (163),AIRWALK
159,ARAUCO MAIPU (159),AIRWALK
241,PASEO COSTANERA (241),AIRWALK
165,MARINA ARAUCO (165),AIRWALK
185,CHILLAN (185),AIRWALK
229,PORTAL TEMUCO (229),AIRWALK
172,VALDIVIA (172),AIRWALK
162,BUENAVENTURA (162),AIRWALK
192,PARQUE ARAUCO (192),LULULEMON
235,MALL SPORT (235),LULULEMON
191,SAN PEDRO OUTLET (191),LULULEMON
240,PASEO COSTANERA (240),LULULEMON
224,PLAZA EL TREBOL (224),LULULEMON
199,LOS DOMINICOS (199),LULULEMON
190,COQUIMBO OUTLET (190),LULULEMON
193,CURAUMA OUTLET (193),LULULEMON
188,BUENAVENTURA OUTLET (188),LULULEMON
197,ANTOFAGASTA (197),LULULEMON
189,MARINA ARAUCO (189),LULULEMON
194,EASTON OUTLET (194),LULULEMON
119,MALL SPORT (119),JACK WOLFSKIN
140,PLAZA SUR (140),JACK WOLFSKIN
678,PZA ANTOFAGASTA (678),JACK WOLFSKIN
238,PLAZA OESTE (238),JACK WOLFSKIN
142,LA FABRICA (142),JACK WOLFSKIN
684,PORTAL TEMUCO (684),JACK WOLFSKIN
742,ALTO LAS CONDES (742),JACK WOLFSKIN
911,PUERTO MONTT (911),KEEN
853,PZA OESTE (853),KEEN
655,PARQUE ARAUCO (655),KEEN
856,PORTAL TEMUCO (856),KEEN
699,PZA TREBOL (699),KEEN
907,CURICO (907),KEEN
532,VINA (532),GRENDHA
7,LYON (7),CAMPER
420,VINA (420),FAMOUS FOOTWEAR
30,MAIPU (30),URBAN OUTFITTERS
24,ARICA (24),CAMPER
565,WOMAN (565),CHARLES & KEITH
412,MAIPU (412),FAMOUS FOOTWEAR
408,TALCA (408),FAMOUS FOOTWEAR
786,TALCA (786),CHARLES & KEITH
529,ESTADO (529),GRENDHA
533,TEMUCO (533),GRENDHA
778,TALCA (778),CARHARTT
747,EASTON (747),URBAN OUTFITTERS
470,CALAMA (470),REI
781,OSORNO (781),REI
683,CURICO (683),BOBUX
394,TEMUCO (394),BOBUX
18,OSORNO (18),CAMPER
372,OVALLE (372),CAMPER
17,TEMUCO (17),CAMPER
705,AIRES (705),KEEN
125,PUCON (125),KEEN
101,ESTADO (101),L.K. BENNETT
113,TALCA (113),FATFACE
329,CALAMA (329),FATFACE
124,OSORNO (124),FATFACE
61,TEMUCO (61),FATFACE
422,CURICO (422),FAMOUS FOOTWEAR
429,TEMUCO (429),FAMOUS FOOTWEAR
806,OSORNO (806),CHARLES & KEITH
673,BALTHUS (673),SWEATY BETTY
748,CURICO (748),CARHARTT
446,TALCA 2 (446),REI
790,BIO BIO (790),CAMPER
16,CHILLAN (16),CAMPER
10,COPIAPO (10),CAMPER
404,ALAMEDA (404),FAMOUS FOOTWEAR
425,CHILLAN (425),FAMOUS FOOTWEAR
661,LINARES (661),FAMOUS FOOTWEAR
133,TALCA 2 (133),FAMOUS FOOTWEAR
805,RANCAGUA (805),GRENDHA
906,YOUTOPIA (906),SWEATY BETTY
442,RANCAGUA (442),REI
602,RANCAGUA (602),CAMPER
37,VALDIVIA (37),FATFACE
789,CURICO 2 (789),FAMOUS FOOTWEAR
398,MATUCANA (398),FAMOUS FOOTWEAR
402,QUILLOTA (402),FAMOUS FOOTWEAR
816,MELIPILLA (816),GRENDHA
121,PENUELAS (121),FINISTERRE
812,QUILICURA (812),URBAN OUTFITTERS
3,AGUSTINAS (3),CAMPER
1,AHUMADA 1 (1),CAMPER
5,APUMANQUE (5),CAMPER
670,COYHAIQUE (670),CAMPER
370,LA DEHESA (370),CAMPER
11,LA SERENA (11),CAMPER
108,LOS ANDES (108),CAMPER
714,PLAZA SUR (714),CAMPER
860,VALDIVIA (860),KEEN
387,LA DEHESA (387),L.K. BENNETT
671,COYHAIQUE (671),FATFACE
662,LOS ANDES (662),FAMOUS FOOTWEAR
732,PTO MONTT (732),FAMOUS FOOTWEAR
397,SAN PABLO (397),FAMOUS FOOTWEAR
772,PZA NORTE (772),CHARLES & KEITH
686,MALL SPORT (686),SWEATY BETTY
916,PTO VARAS (916),JACK WOLFSKIN
33,HUECHURABA (33),URBAN OUTFITTERS
651,VALPARAISO (651),URBAN OUTFITTERS
22,CONCEPCION (22),CAMPER
471,SAN FELIPE (471),CAMPER
604,SANTA CRUZ (604),CAMPER
14,VALPARAISO (14),CAMPER
338,VILLARRICA (338),CAMPER
696,LA DEHESA (696),KEEN
414,VALPARAISO (414),FAMOUS FOOTWEAR
745,PZA TREBOL (745),CHARLES & KEITH
837,PLAZA EGANA (837),GRENDHA
850,MALL SPORT (850),FINISTERRE
120,VIVO TEMUCO (120),URBAN OUTFITTERS
797,ECOM (797),ECOMMERCE
930,ECOM (930),ECOMMERCE
492,MALL CURICO (492),REI
829,PLAZA EGANA (829),REI
