id_canal,numero_transaccion,numero_pos,numero_boleta,fecha_transaccion,cod_tienda_facturacion,tipo_documento,id_producto,unidades,venta,costo
2,110842629,1,13329464,06/11/2019 12:00:00 AM CL,158,NE,4302857,-1,-33605,-15620
2,3052,1,13331386,06/11/2019 12:00:00 AM CL,112,BE,4088265,1,5874,2584
2,112013319,1,13334351,06/11/2019 12:00:00 AM CL,158,NE,4285423,-1,-10916,-7470
2,112241878,1,13336402,06/11/2019 12:00:00 AM CL,158,NE,4312327,-1,-18479,-6190
2,7896,3,13338244,06/11/2019 12:00:00 AM CL,457,BE,4111692,1,36126,15556
2,7897,3,13338245,06/11/2019 12:00:00 AM CL,457,BE,4136623,1,14277,7164
2,7898,3,13338246,06/11/2019 12:00:00 AM CL,457,BE,4028841,1,19319,5483
2,7899,3,13338247,06/11/2019 12:00:00 AM CL,457,BE,4111667,1,50412,16131
2,7900,3,13338248,06/11/2019 12:00:00 AM CL,457,BE,3946198,1,2513,9578
2,5199,2,13362861,06/11/2019 12:00:00 AM CL,140,BE,4136568,1,27723,7131
2,7706,1,13369440,06/11/2019 12:00:00 AM CL,589,BE,4205664,1,21000,8935
2,2466,1,13371669,06/11/2019 12:00:00 AM CL,636,BE,4155204,1,27723,14933
2,3200,1,13374274,06/11/2019 12:00:00 AM CL,829,BE,4061099,1,42008,12846
2,8311,1,13381659,06/11/2019 12:00:00 AM CL,387,BE,3489748,1,12521,13606
2,8373,1,13383640,06/11/2019 12:00:00 AM CL,122,BE,4178282,1,25202,10620
2,4386,1,13384572,06/11/2019 12:00:00 AM CL,823,BE,3868285,1,12521,9798
2,145956634,1,13388006,06/11/2019 12:00:00 AM CL,834,NE,4054210,-1,-21000,-13037
2,145956634,1,13388006,06/11/2019 12:00:00 AM CL,834,NE,3714973,-1,-16798,-13247
2,4287,1,13398766,06/11/2019 12:00:00 AM CL,591,BE,4194716,1,44529,13293
2,3104,1,13402979,06/11/2019 12:00:00 AM CL,894,BE,4077914,1,8395,3886
2,8335,1,13405037,06/11/2019 12:00:00 AM CL,374,BE,4075451,1,50412,11659
2,1141,1,13412080,06/11/2019 12:00:00 AM CL,3,BE,3904386,1,25202,16881
2,5369,2,13414638,06/11/2019 12:00:00 AM CL,31,BE,3936427,1,29403,13690
2,5370,2,13414639,06/11/2019 12:00:00 AM CL,31,BE,4176789,1,54613,14797
2,5371,2,13414640,06/11/2019 12:00:00 AM CL,31,BE,4114019,1,50412,16702
2,5372,2,13414641,06/11/2019 12:00:00 AM CL,31,BE,4105191,1,33605,16396
2,9485,1,13417079,06/11/2019 12:00:00 AM CL,47,BE,4091920,1,15118,12374
2,9028,1,13417347,06/11/2019 12:00:00 AM CL,367,BE,4138727,1,308,960
2,68,1,13420825,06/11/2019 12:00:00 AM CL,833,BE,4164180,1,27723,14933
2,9047,3,13424479,06/11/2019 12:00:00 AM CL,158,BE,4349875,1,31084,13060
2,9047,3,13424479,06/11/2019 12:00:00 AM CL,158,BE,4338686,1,29403,8181
2,9862,1,13427628,06/11/2019 12:00:00 AM CL,743,BE,3947405,1,30037,19378
2,7622,1,13428682,06/11/2019 12:00:00 AM CL,123,BE,4168022,1,63017,24601
